regionname,countryname,project result,curr_project_cost,lendinginstr
Western and Central Africa,Federal Republic of Nigeria,Success,20900000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,81000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,162000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,13000000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,72000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,53000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,34000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Fail,130000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,25000000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,41000000,Financial Intermediary Loan
Western and Central Africa,Federal Republic of Nigeria,Success,250000000,Sector Adjustment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,122000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,120000000,Financial Intermediary Loan
Western and Central Africa,Federal Republic of Nigeria,Success,67000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,100000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,147000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,47000000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,132000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,142000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,17800000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,108000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,100000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,32500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,28000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,92000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,31000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,23000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,27000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,9000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,60000000,Financial Intermediary Loan
Western and Central Africa,Federal Republic of Nigeria,Success,30000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,27000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,35000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,29500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,19000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,17000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,21000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,17500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,21000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,29000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,19000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,55000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,20000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,54000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,26300000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,76000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,17300000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,80000000,Structural Adjustment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,10000000,Financial Intermediary Loan
Western and Central Africa,Federal Republic of Nigeria,Success,7200000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,25000000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,10600000,Sector Investment and Maintenance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,14500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,6000000,Financial Intermediary Loan
Western and Central Africa,Federal Republic of Nigeria,Success,14500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,17500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,15500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,82000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,20000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,30000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,13500000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,28000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Fail,11100000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,50000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Fail,35000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,19800000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,7500000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,5500000,Technical Assistance Loan
Western and Central Africa,Republic of Niger,Success,76000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,17600000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,150000000,Structural Adjustment Loan
Western and Central Africa,Republic of Niger,Success,60000000,Sector Adjustment Loan
Western and Central Africa,Republic of Niger,Success,28000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,18000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,31500000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,27800000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Niger,Success,18400000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,18000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,15000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,20000000,Structural Adjustment Loan
Western and Central Africa,Republic of Niger,Success,7500000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,9300000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,11700000,Technical Assistance Loan
Western and Central Africa,Republic of Niger,Success,6500000,Technical Assistance Loan
Western and Central Africa,Republic of Niger,Success,23600000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Niger,Success,16000000,Financial Intermediary Loan
Western and Central Africa,Republic of Niger,Success,10100000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,21500000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,16700000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,10000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,12000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,15000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,5000000,Financial Intermediary Loan
Western and Central Africa,Republic of Niger,Success,4500000,Technical Assistance Loan
Western and Central Africa,Republic of Niger,Success,15600000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,5200000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Niger,Success,10700000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,900000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,400000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,5000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,2000000,Emergency Recovery Loan
Western and Central Africa,Republic of Niger,Success,5700000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,600000,Financial Intermediary Loan
Western and Central Africa,Republic of Niger,Success,6100000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Niger,Success,1500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Namibia,Fail,5000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,30500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Fail,7000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,4000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,55100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,65600000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,78700000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,13300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,30000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,20500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,10000000,Financial Intermediary Loan
Eastern and Southern Africa,Republic of Mauritius,Success,10000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,30000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Mauritius,Fail,21700000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,7700000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,25000000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,5000000,Technical Assistance Loan
